stim,coherence,difficulty,motionstrength,resp,rt,correct,correctM,trialnr,blocknr,sessionnr,subjnr,baseline_pupil,int1motion,int2motion,rtNorm,decision_pupil,feedback_pupil,trialend_pupil,response_pupil
-1,0.025,2,-0.2650986,-1,0.75,1,1,1,1,2,10,-0.4610578,12.85358,12.58848,2.741111,1.069878,1.17897,-0.4670619,1.22
-1,0.3,5,-5.533618,-1,0.35,1,1,2,1,2,10,-0.1214584,12.88355,7.349934,1.18247,-0.05645466,-0.3896051,0.5088077,0.7919285
-1,0.1,4,-1.656384,-1,0.34,1,1,3,1,2,10,0.1701474,12.51819,10.86181,1.127394,0.3455128,0.530169,0.2986535,0.01436396
1,0.3,5,5.364146,1,0.2,1,1,4,1,2,10,-0.6343184,12.60851,17.97265,0.1887811,1.033145,0.02335572,0.9087079,1.297636
-1,0.0125,1,-0.2341185,-1,0.49,1,1,5,1,2,10,0.4219027,12.71227,12.47815,1.846313,0.2174338,0.1416342,0.31703,0.07300705
-1,0.3,5,-5.459325,-1,0.3,1,1,6,1,2,10,-0.5375082,12.67718,7.217858,0.8938144,0.8271231,0.9257236,0.07201971,0.2915953
1,0.025,2,0.5273333,1,0.18,1,1,7,1,2,10,-0.2816124,12.69182,13.21915,0.01969768,0.9129891,0.6563647,0.7136141,-0.0008792883
1,0.025,2,0.5883608,1,0.2,1,1,8,1,2,10,0.09806056,12.71227,13.30063,0.1887811,0.4743049,0.6881549,-0.2221462,0.3343668
-1,0.05,3,-1.266787,-1,0.27,1,1,9,1,2,10,0.611294,12.94774,11.68096,0.7027509,-1.320537,-1.443859,-0.7185795,-0.627333
-1,0.0125,1,-0.3676872,-1,0.26,1,1,10,1,2,10,-0.1000691,12.92921,12.56152,0.6356033,0.5054407,0.4717014,0.8068462,0.358525
-1,0.05,3,-0.9031324,1,0.24,0,0,11,1,2,10,0.001054677,12.49885,11.59571,0.4955232,-0.561268,0.4156222,0.1517051,0.5547786
1,0.025,2,0.4577055,1,0.06,1,1,12,1,2,10,-0.7132325,12.63851,13.09622,-1.351774,0.1942532,1.044201,1.307985,0.6951918
-1,0.1,4,-1.744163,-1,0.21,1,1,13,1,2,10,-0.4598319,12.67158,10.92742,0.26914,0.657922,0.7482369,0.8809378,0.2608216
-1,0.05,3,-0.6323748,-1,0.2,1,1,14,1,2,10,0.6319827,12.71716,12.08479,0.1887811,-0.3833714,-0.3414193,-0.2076365,-0.700071
-1,0.0125,1,-0.2634058,-1,0.23,1,1,15,1,2,10,0.1455588,12.53122,12.26781,0.4223613,0.9022956,0.9807109,-0.07317355,0.3087231
-1,0.1,4,-2.057838,-1,0.19,1,1,16,1,2,10,-0.1957543,13.04718,10.98934,0.1056972,0.05624901,0.4017093,0.2611943,0.1082716
1,0.1,4,1.85541,1,0.18,1,1,17,1,2,10,-0.6118289,12.66622,14.52163,0.01969768,1.212727,0.7824737,1.297429,0.7503948
1,0.05,3,0.7888794,1,0.12,1,1,18,1,2,10,-1.447561,12.65432,13.4432,-0.5713272,1.748587,2.027514,-2.29037,1.474501
1,0.05,3,0.7596016,1,0.08999997,1,1,19,1,2,10,-2.996584,12.86715,13.62675,-0.9306141,2.009691,2.322978,2.243703,1.350615
1,0.05,3,0.6889153,-1,0.27,0,0,20,1,2,10,-0.1689252,12.91365,13.60257,0.7027509,0.7384405,0.1153587,0.5271736,0.800486
1,0.025,2,0.2032213,-1,0.3,0,0,21,1,2,10,-0.2888106,12.80549,13.00871,0.8938144,0.8706367,0.5390366,1.002684,0.3856765
